"location","source","target","context"
"XL1000_TRANSLATION_MADE_BY","This translation was made by:","Перевели:","XL1000_TRANSLATION_MADE_BY"
"XL1000_ADD_YOUR_NAMES_HERE","yourusername","Grwbs, Paul Galbine & Final Ninja Zero","XL1000_ADD_YOUR_NAMES_HERE"
"XL1000_THANKYOU","Thank you!","Спасибо!","XL1000_THANKYOU"
"XL1000_TRANSLATIONERRORS2","Note: This language is maintained by the community. If you want to help translate contact us on discord!","Внимание. Перевод на этот язык делается сообществом. Если вы хотите помочь с переводом, свяжитесь с нами в discord!","XL1000_TRANSLATIONERRORS2"
"XL1000_ANNOUNCE_XREACHEDLEVELY","<{{%01%}}> has reached account level {{%02%}}!","<{{%01%}}> достигнут уровень {{%02%}}!","XL1000_ANNOUNCE_XREACHEDLEVELY"
"XL1000_ANNOUNCE_XGOTLEGENDARYSKILLONCLASS","<{{%01%}}> got a legendary {{%02%}} for {{%03%}} class!","","XL1000_ANNOUNCE_XGOTLEGENDARYSKILLONCLASS"
"XL1000_ANNOUNCE_XREACHEDARANKOFSUPERSOLDIER","<{{%01%}}> reached the rank of Super Soldier!","<{{%01%}}> достиг ранга Супер Солдата!","XL1000_ANNOUNCE_XREACHEDARANKOFSUPERSOLDIER"
"XL1000_ANNOUNCE_XREACHEDARANKOFBIOWEAPON","<{{%01%}}> reached the rank of Bio Weapon!!","<{{%01%}}> достиг ранга Биооружие!!","XL1000_ANNOUNCE_XREACHEDARANKOFBIOWEAPON"
"XL1000_ANNOUNCE_XREACHEDARANKOFIMMORTAL","<{{%01%}}> reached the rank of Immortal!!!","<{{%01%}}> достиг ранга Бессмертный!!!","XL1000_ANNOUNCE_XREACHEDARANKOFIMMORTAL"
"XL1000_ANNOUNCE_XREACHEDARANKOFGENETICGOD","<{{%01%}}> reached the rank of Genetic God!!!!","<{{%01%}}> достиг ранга Божества!!!!","XL1000_ANNOUNCE_XREACHEDARANKOFGENETICGOD"
"XL1000_ANNOUNCE_XGAINEDALEGENDARYITEMY","<{{%01%}}> gained a new legendary item: {{%02%}}","<{{%01%}}> получил новый легендарный предмет: {{%02%}}","XL1000_ANNOUNCE_XGAINEDALEGENDARYITEMY"
"XL1000_ANNOUNCE_XCOMPLETEDYCHALLENGES","<{{%01%}}> has now completed {{%02%}} challenges","<{{%01%}}> выполнил {{%02%}} задания","XL1000_ANNOUNCE_XCOMPLETEDYCHALLENGES"
"XL1000_ANNOUNCE_XHASEARNEDYXPTODAY","<{{%01%}}> has earned over {{%02%}} xp today","<{{%01%}}> сегодня заработал более {{%02%}} оп","XL1000_ANNOUNCE_XHASEARNEDYXPTODAY"
"XL1001_ANNOUNCE_XHASEARNEDATOTALOFYMEDALS","<{{%01%}}> has earned a combined total of {{%02%}} skill levels","","XL1001_ANNOUNCE_XHASEARNEDATOTALOFYMEDALS"
"XL1000_ANNOUNCE_XHASREACHEDACOMBINEDCLASSLEVELOF","<{{%01%}}> reached a combined class level of {{%02%}}","<{{%01%}}> достиг общего уровня класса {{%02%}}","XL1000_ANNOUNCE_XHASREACHEDACOMBINEDCLASSLEVELOF"
"XL1000_ANNOUNCE_XHASUNLOCKEDALEGENDARYMODIFIERY","<{{%01%}}> unlocked a new legendary modifier: {{%02%}}!","","XL1000_ANNOUNCE_XHASUNLOCKEDALEGENDARYMODIFIERY"
"XL1000_ANNOUNCE_XHASUNLOCKEDAPREMIUMLEGENDARYMODIFIERY","<{{%01%}}> upgraded a legendary modifier to premium: {{%02%}}!","","XL1000_ANNOUNCE_XHASUNLOCKEDAPREMIUMLEGENDARYMODIFIERY"
"XL1000_PLAY","PLAY","ИГРА","XL1000_PLAY"
"XL1000_SHOPCAPS","SHOP","","XL1000_SHOPCAPS"
"XL1000_SHOP_OFFERS","OFFERS","","XL1000_SHOP_OFFERS"
"XL1000_SHOP_RESOURCES","RESOURCES","","XL1000_SHOP_RESOURCES"
"XL1000_SHOP_URANIUM","URANIUM","","XL1000_SHOP_URANIUM"
"XL1000_SEARCHING","SEARCHING","ПОИСК","XL1000_SEARCHING"
"XL1000_FINDINGNEWBIEMATCH","FINDING BEGINNER MATCH","","XL1000_FINDINGNEWBIEMATCH"
"XL1000_MULTIPLAYER","MULTIPLAYER","МУЛЬТИПЛЕЕР","XL1000_MULTIPLAYER"
"XL1000_SINGLEPLAYER","SINGLEPLAYER","ОДИНОЧНАЯ ИГРА","XL1000_SINGLEPLAYER"
"XL1912_GSADESCRIPTION","Gene Shift Auto is a GTA-style battle royale with roguelike build crafting. Loot, shoot, and adapt your build to create godlike synergies before the final fight.","","XL1912_GSADESCRIPTION"
"XL1000_UNLOCKSCAPS","UNLOCKS","ОТКРЫТЫ","XL1000_UNLOCKSCAPS"
"XL1000_GAMEINFO","GAME INFO","ОБ ИГРЕ","XL1000_GAMEINFO"
"XL1000_SERVERINFO","SERVER INFO","О СЕРВЕРЕ","XL1000_SERVERINFO"
"XL1001_QUICKPLAY","QUICK PLAY","БЫСТРЫЙ МАТЧ","XL1001_QUICKPLAY"
"XL1003_SURVIVALRUN","SOLO & COOP","СОЛО & КООПЕРАТИВ","XL1003_SURVIVALRUN"
"XL1003_SOLONTUTORIAL","SOLO & TUTORIAL","СОЛО & ОБУЧЕНИЕ","XL1003_SOLONTUTORIAL"
"XL1000_OPTIONS","OPTIONS","ОПЦИИ","XL1000_OPTIONS"
"XL1000_MAPEDITOR","MAP EDITOR","РЕДАКТОР КАРТ","XL1000_MAPEDITOR"
"XL1000_MAINMENU","MAIN MENU","ГЛАВНОЕ МЕНЮ","XL1000_MAINMENU"
"XL1000_MAINMENUSMALL","Main Menu","Главное Меню","XL1000_MAINMENUSMALL"
"XL1000_RETURN_TO_GAME","RETURN TO GAME","ВЕРНУТЬСЯ К ИГРЕ","XL1000_RETURN_TO_GAME"
"XL1001_LEAVESERVER","LEAVE SERVER","ПОКИНУТЬ СЕРВЕР","XL1001_LEAVESERVER"
"XL1000_JOINOURDISCORD","JOIN DISCORD","КАНАЛ В DISCORD","XL1000_JOINOURDISCORD"
"XL1000_LEAVEAREVIEW","LEAVE A REVIEW","ОСТАВИТЬ ОТЗЫВ","XL1000_LEAVEAREVIEW"
"XL1000_AWARDS","AWARDS","НАГРАДЫ","XL1000_AWARDS"
"XL1000_STARTGAME","START GAME","НАЧАТЬ ИГРУ","XL1000_STARTGAME"
"XL1000_FLASK_CLOSING","CLOSING","","XL1000_FLASK_CLOSING"
"XL1000_FLASK_OPENING","OPENING","","XL1000_FLASK_OPENING"
"XL1000_OPENFLASKS","Use Flasks & Earn DNA","","XL1000_OPENFLASKS"
"XL1000_LEVELUPCLAIMREWARDS","Claim Rewards & Level Up","","XL1000_LEVELUPCLAIMREWARDS"
"XL1000_CLAIMREWARDS","CLAIM REWARDS","ЗАБРАТЬ НАГРАДЫ","XL1000_CLAIMREWARDS"
"XL1000_CLAIMLEVELUP1","+1 LEVEL!","","XL1000_CLAIMLEVELUP1"
"XL1000_CLAIMLEVELUPMULTIPLE","+{{%01%}} LEVELS!","","XL1000_CLAIMLEVELUPMULTIPLE"
"XL1000_CLAIMED","CLAIMED","","XL1000_CLAIMED"
"XL1000_ALREADYOWNED","ALREADY OWNED","","XL1000_ALREADYOWNED"
"XL1000_CLAIMREWARDCAPS","CLAIM REWARD","","XL1000_CLAIMREWARDCAPS"
"XL1000_CLAIM_ALL_CAPS","CLAIM ALL","","XL1000_CLAIM_ALL_CAPS"
"XL1000_CLAIMBELOW","CLAIM BELOW","","XL1000_CLAIMBELOW"
"XL1000_LEVELX","NEEDS {{%01%}} XP","","XL1000_LEVELX"
"XL1000_INVENTORYFULL","INVENTORY FULL","","XL1000_INVENTORYFULL"
"XL1000_CLAIMFLASK","CLAIM FLASK","","XL1000_CLAIMFLASK"
"XL1000_SELLX","SELL {{%01%}}","","XL1000_SELLX"
"XL1000_PURCHASE","PURCHASE!","","XL1000_PURCHASE"
"XL1000_SELLFLASK","SELL FLASK","","XL1000_SELLFLASK"
"XL1001_SELLXFLASKSFORYACID","Sell {{%01%}} Flasks for +{{%02%}} ACID","","XL1001_SELLXFLASKSFORYACID"
"XL1000_CRAFTEPIC","CRAFT EPIC","","XL1000_CRAFTEPIC"
"XL1000_SHARDSON","SHARDS ON","","XL1000_SHARDSON"
"XL1000_SHARDSOFF","SHARDS OFF","","XL1000_SHARDSOFF"
"XL1000_CRAFTPLAY","CRAFT PLAY","","XL1000_CRAFTPLAY"
"XL1000_REQUIRESX","REQUIRES {{%01%}}","","XL1000_REQUIRESX"
"XL1001_CONVERTXFLASKSINTOANEPIC","Convert {{%01%}} class flasks into a regular Epic Flask (this costs {{%02%}} Uranium)","","XL1001_CONVERTXFLASKSINTOANEPIC"
"XL1001_CONVERTXFLASKSINTOAPLAY","Convert {{%01%}} Full Flask into a Play Flask (this costs {{%02%}} Uranium)","","XL1001_CONVERTXFLASKSINTOAPLAY"
"XL1000_MODIFIER_INFO_01","You can equip the modifiers that you own into your build on the right. Whenever you win a round, two of the modifiers in your build will be randomly chosen for everyone to vote on.","","XL1000_MODIFIER_INFO_01"
"XL1000_MODIFIER_INFO_02","If you win a round you always get {{%04%}} votes. But if someone else wins, your voting power depends on their modifiers. If you own BOTH of their modifiers you get {{%03%}} votes, if you own ONE you get {{%02%}} votes, and if you own NONE you only get {{%01%}} votes. Unlock more modifiers to improve your voting power.","","XL1000_MODIFIER_INFO_02"
"XL1006_MODIFIE2_INFO_03","You can unlock modifiers by spending {{%01%}} SHARDS when you open a flask. This gives a {{%02%}}% chance to get a legendary modifier, a {{%03%}}% chance to get an Epic or higher, and a {{%04%}}% chance to get a Rare or higher. If you hit a modifier that you already own, you'll get +{{%05%}} ENRICHED SHARDS instead. These let you buy specific legendary modifiers directly from the shop!","","XL1006_MODIFIE2_INFO_03"
"XL1004_MODIFIER_INFO_04","To get more SHARDS, level up your classes. You get +{{%01%}} shards per class level up (tip: you can level up lower level classes faster).","","XL1004_MODIFIER_INFO_04"
"XL1014_MODIFIER_INFO_05","Earning TROPHIES in-game levels up your modifiers. Your trophies are awarded to a random modifier that you own (prioritizing modifiers played that match if possible, otherwise from your build). The winners of each match will earn bonus trophies. Common modifiers hit max level at {{%01%}} trophies, rares at {{%02%}} trophies, epics at {{%03%}} trophies, and legendaries at {{%04%}} trophies. Get the Deluxe Edition DLC to earn these trophies {{%05%}}x faster, and raise the trophy limit to {{%06%}} for all rarities.","","XL1014_MODIFIER_INFO_05"
"XL1002_MODIFIER_INFO_06","If a class build is on, it is used when playing that class instead of the default build.","","XL1002_MODIFIER_INFO_06"
"XL1011_MODIFIER_INFO_08","Every {{%01%}} trophies earned on a modifier will let you level it up and claim bonus ACID. Also, as your total trophy count increases, your victory screen will gain cool cosmetic effects! Unlock more modifiers and get the Deluxe Edition DLC to raise your total trophy limit.","","XL1011_MODIFIER_INFO_08"
"XL1005_MODIFIER_INFO_08","Each round, these weekly modifiers are mixed into the winner's build, giving them a {{%01%}}% chance to appear for voting. These are added even for players who haven't unlocked them yet!","","XL1005_MODIFIER_INFO_08"
"XL1005_MODIFIER_INFO_09","At the start of each Monday and Friday (0:00 UTC), the modifier on the right shifts into the slot on the left, and a new one appears on the right. Legendary modifiers will never appear here.","","XL1005_MODIFIER_INFO_09"
"XL1005_NO_MODIFIER_EQUIPPED_DEFAULT","No modifier equipped. A random modifier that you own will be used when you win rounds.","","XL1005_NO_MODIFIER_EQUIPPED_DEFAULT"
"XL1005_NO_MODIFIER_EQUIPPED_CLASS","No modifier equipped. A random modifier from your default build will be used.","","XL1005_NO_MODIFIER_EQUIPPED_CLASS"
"XL1002_MODIFIER_INFO_TITLE_01","Equipping Modifiers","","XL1002_MODIFIER_INFO_TITLE_01"
"XL1002_MODIFIER_INFO_TITLE_02","Modifiers Give Voting Power","","XL1002_MODIFIER_INFO_TITLE_02"
"XL1003_MODIFIER_INFO_TITLE_03","Earning Trophies on Modifiers","","XL1003_MODIFIER_INFO_TITLE_03"
"XL1004_MODIFIER_INFO_TITLE_04","Trophies Give ACID & Cosmetics","","XL1004_MODIFIER_INFO_TITLE_04"
"XL1003_MODIFIER_INFO_TITLE_05","Total Trophies Victory Screen Effects","","XL1003_MODIFIER_INFO_TITLE_05"
"XL1000_TROPHYCUTOFF_GLOWING_MODS","Glowing Modifiers","","XL1000_TROPHYCUTOFF_GLOWING_MODS"
"XL1000_TROPHYCUTOFF_BACKGROUND","Sci-Fi Background","","XL1000_TROPHYCUTOFF_BACKGROUND"
"XL1000L_TROPHYCUTOFF_BORDER","Cyberpunk Border","","XL1000L_TROPHYCUTOFF_BORDER"
"XL1000_TROPHYCUTOFF_RARE_COL","Rare Teal Colors","","XL1000_TROPHYCUTOFF_RARE_COL"
"XL1000_TROPHYCUTOFF_MOD_SPARKS","Animated Sparks","","XL1000_TROPHYCUTOFF_MOD_SPARKS"
"XL1000_TROPHYCUTOFF_EPIC_COL","Epic Purple Colors","","XL1000_TROPHYCUTOFF_EPIC_COL"
"XL1000_TROPHYCUTOFF_FLAMING_BORDER","Animated Flame Effect","","XL1000_TROPHYCUTOFF_FLAMING_BORDER"
"XL1000_TROPHYCUTOFF_LEGENDARY_COLOUR","Legendary Gold Colors","","XL1000_TROPHYCUTOFF_LEGENDARY_COLOUR"
"XL1000_TROPHYCUTOFF_VICTORY_LIGHTBEAMS","Victory Light Beams","","XL1000_TROPHYCUTOFF_VICTORY_LIGHTBEAMS"
"XL1000_TROPHYCUTOFF_SPINNING_LIGHTBEAMS","Spinning Light Beams","","XL1000_TROPHYCUTOFF_SPINNING_LIGHTBEAMS"
"XL1000_TROPHYCUTOFF_SHOOTING_STARS","Shooting Stars","","XL1000_TROPHYCUTOFF_SHOOTING_STARS"
"XL1000_TROPHYCUTOFF_VOTE_SCREENSHAKE","Screen Shake When Voting","","XL1000_TROPHYCUTOFF_VOTE_SCREENSHAKE"
"XL1000_TROPHYCUTOFF_RED_COL","Immortal Red Colors","","XL1000_TROPHYCUTOFF_RED_COL"
"XL1000_TROPHYCUTOFF_ANIMATED_BACKGROUND","Animated Background","","XL1000_TROPHYCUTOFF_ANIMATED_BACKGROUND"
"XL1005_MODIFIER_YOUCANLEVELUPTHISMODIFIER","Level this modifier up to claim +{{%01%}} ACID!","","XL1005_MODIFIER_YOUCANLEVELUPTHISMODIFIER"
"XL1004_MODIFIER_MEDAL_MAXED_NOTROPHIES","This modifier is max level. It can no longer earn trophies unless you upgrade it to premium, which raises the cap to {{%01%}}.","","XL1004_MODIFIER_MEDAL_MAXED_NOTROPHIES"
"XL1003_MODIFIER_MEDAL_MAXED_NOTROPHIES_PREMIUM","This premium modifier is at max level!","","XL1003_MODIFIER_MEDAL_MAXED_NOTROPHIES_PREMIUM"
"XL1001_MODIFIER_MEDAL_MAXED","You earned the max of {{%01%}} trophies for this rarity!","","XL1001_MODIFIER_MEDAL_MAXED"
"XL1001_MODIFIER_MEDAL_MAXED_GETDLC","Get the DLC to raise the max trophies to {{%01%}}. You'll also earn trophies {{%02%}}x faster!","","XL1001_MODIFIER_MEDAL_MAXED_GETDLC"
"XL1001_MODIFIER_MEDAL_UNOWNED","Unlock this modifier to begin earning trophies for it.","","XL1001_MODIFIER_MEDAL_UNOWNED"
"XL1002_MODIFIER_MEDAL_INFO","You've earned {{%01%}} trophies. Reach {{%02%}} to level this up!","","XL1002_MODIFIER_MEDAL_INFO"
"XL1002_MODIFIER_MEDAL_INFO2","Equip this to earn more.","","XL1002_MODIFIER_MEDAL_INFO2"
"XL1002_MODIFIER_KILL_STREAK_PREMIUM","Your best kill streak with this mod is {{%01%}}.","","XL1002_MODIFIER_KILL_STREAK_PREMIUM"
"XL1002_MODIFIER_KILL_STREAK_NOT_PREMIUM","Upgrade this to PREMIUM to show the best kill streak you got with this modifier!","","XL1002_MODIFIER_KILL_STREAK_NOT_PREMIUM"
"XL1006_SHARDSPENDINGINFO","Spend {{%01%}} SHARDS to drastically boost your chance of getting a new ROUND MODIFIER! If you hit a duplicate modifier you'll get +{{%02%}} ENRICHED SHARDS instead. These are used to buy specific modifiers from the shop.","","XL1006_SHARDSPENDINGINFO"
"XL1003_SHARDSPENDINGINFO_NOTENOUGH","Not enough SHARDS. You need at least {{%01%}} shards to unlock new round modifiers.","","XL1003_SHARDSPENDINGINFO_NOTENOUGH"
"XL1003_YOUHAVEUNLOCKEDALLROUNDMODIFIERS","All modifiers unlocked! You can't spend shards until more modifiers are added to the game.","","XL1003_YOUHAVEUNLOCKEDALLROUNDMODIFIERS"
"XL1003_YOUCANSPENDSHARDSATLEVELX","You can spend SHARDS to unlock new ROUND MODIFIERS when you reach level {{%01%}}.","","XL1003_YOUCANSPENDSHARDSATLEVELX"
"XL1003_MODIFIER_EXPLAINED","You can now equip this to your build in the MODIFIERS tab. This gives it a chance to appear for voting when you win a round.","","XL1003_MODIFIER_EXPLAINED"
"XL1001_LOCKEDDAILYURANIUMCOST","This super challenge can be claimed for {{%01%}} Uranium, giving XP and ACID at {{%02%}}x value!","","XL1001_LOCKEDDAILYURANIUMCOST"
"XL1000_XNEW","+{{%01%}} NEW!","","XL1000_XNEW"
"XL1000_OPENFLASKS_DESC01","Combine FLASKS and ACID to get DNA for your skills. DNA lets you equip skills to your skill builds. Certain types of flask can also unlock brand new skills.","","XL1000_OPENFLASKS_DESC01"
"XL1001_OPENFLASKS_DESC02","When using a FLASK you can also spend a MAGNET on a specific class/skill DNA combo. This adds an extra DNA drop to the flask for the chosen combo, with a chance to hit a Rare or higher!","","XL1001_OPENFLASKS_DESC02"
"XL1001_OPENFLASKS_DESC03","Tip: Magnets are most effective when used with a Magnetic Flask, Legendary Flask, or Epic Flask.","","XL1001_OPENFLASKS_DESC03"
"XL1002_OPENFLASKS_MAGNETUSAGE_DESC","Select a specific skill to level up. This makes it earn +{{%01%}} DNA in your next flask, so it reaches Legendary status faster! This costs 1 MAGNET per flask.","","XL1002_OPENFLASKS_MAGNETUSAGE_DESC"
"XL1000_OPENFLASKS_RIGHTCLICKFLASKSTOQUEUE_DESC","Right Click the flasks above to open multiple in a row. The flasks will automatically open in order until the queue ends. To cancel mid-queue, click this button between flasks.","","XL1000_OPENFLASKS_RIGHTCLICKFLASKSTOQUEUE_DESC"
